Date, Close/Last, Volume, Open, High, Low
07/13/2020, $78.23, 782836, $83.38, $83.465, $78.17
07/10/2020, $82.89, 782226, $85, $85.24, $82.59
07/09/2020, $85, 1678417, $82, $86.03, $81.3
07/08/2020, $78.5, 625229, $77.1, $78.56, $76.76
07/07/2020, $76.59, 744723, $78.3, $79.095, $76.42
07/06/2020, $79.08, 691616, $79.52, $80.32, $78.65
07/02/2020, $78.27, 709594, $79.51, $80.23, $78.07
07/01/2020, $78.44, 801121, $77.93, $79.75, $77.36
06/30/2020, $77.79, 975037, $76.57, $78.23, $75.74
06/29/2020, $76.44, 683352, $76.09, $77.03, $74.18
06/26/2020, $75.53, 1006732, $77.1, $77.4418, $75.46
06/25/2020, $77.36, 625722, $76.4, $77.38, $75.65
06/24/2020, $76.92, 566828, $79.16, $79.67, $76.84
06/23/2020, $79.57, 617799, $79.79, $81.71, $79.45
06/22/2020, $78.93, 412593, $78.32, $78.96, $77.22
06/19/2020, $78.71, 880871, $80.11, $80.64, $77.79
06/18/2020, $79.065, 426622, $78.39, $79.38, $78.25
06/17/2020, $79.17, 624526, $80, $80.305, $79.07
06/16/2020, $79.57, 692975, $79.4, $80.8, $78.305
06/15/2020, $77.26, 503844, $73.56, $77.46, $73.41
06/12/2020, $75.16, 1127801, $75.04, $76.655, $73.3
06/11/2020, $72.62, 1009826, $78.81, $78.81, $72.27
06/10/2020, $81.21, 720094, $82.12, $83.06, $80.91
06/09/2020, $81.54, 859507, $82.76, $82.76, $81.44
06/08/2020, $83.42, 1040696, $84.14, $84.36, $82.514
06/05/2020, $83.74, 696613, $81.8, $84.485, $81.04
06/04/2020, $80.26, 576395, $80.1, $80.97, $79.67
06/03/2020, $80.94, 488440, $79.56, $81.03, $79.11
06/02/2020, $79.5, 614990, $79.34, $80.35, $78.13
06/01/2020, $79.08, 820469, $76.56, $79.44, $76.26
05/29/2020, $76.38, 920551, $74.88, $76.57, $74.1201
05/28/2020, $74.9, 684091, $75.62, $76.62, $74.77
05/27/2020, $74.94, 661992, $74.9, $75.04, $72.005
05/26/2020, $73.32, 907611, $71.35, $73.65, $70.61
05/22/2020, $70.21, 362838, $70.16, $70.5175, $69.09
05/21/2020, $69.89, 453420, $70.39, $71.08, $69.66
05/20/2020, $70.43, 468166, $69.51, $71.51, $69.51
05/19/2020, $68.91, 632235, $69, $70.42, $68.58
05/18/2020, $68.97, 820864, $66.58, $69.42, $66.58
05/15/2020, $65, 373615, $64.65, $65.69, $64.1
05/14/2020, $64.96, 735783, $62.06, $65.21, $60.98
05/13/2020, $63.29, 1013237, $68.01, $68.39, $62.46
05/12/2020, $68.51, 684349, $71.97, $72.66, $68.34
05/11/2020, $72.22, 1187660, $71.23, $72.82, $70.66
05/08/2020, $71.55, 647117, $71.72, $72.26, $70.6
05/07/2020, $70.86, 873076, $71.25, $72.35, $70.66
05/06/2020, $70.41, 812298, $71.21, $71.54, $69.77
05/05/2020, $70.32, 961732, $68.54, $70.7, $67.04
05/04/2020, $67.19, 859104, $64.98, $67.47, $64.36
05/01/2020, $66.38, 1017516, $68.22, $69.16, $65.69
04/30/2020, $69.25, 2280220, $70.11, $71.28, $64.5
04/29/2020, $69.96, 1552990, $68, $70.56, $67.36
04/28/2020, $66.37, 1070606, $67.49, $68.24, $66.105
04/27/2020, $66.28, 468824, $65.77, $66.69, $65.42
04/24/2020, $65, 596542, $64.76, $65.32, $63.835
04/23/2020, $64.33, 792660, $64.82, $66.51, $64.17
04/22/2020, $64.77, 482325, $64.52, $65.125, $63.01
