Date, Close/Last, Volume, Open, High, Low
11/08/2018, 96.715, 226693, 96.72, 96.745, 96.71
11/07/2018, 96.735, 396366, 96.745, 96.775, 96.72
11/06/2018, 96.75, 206588, 96.765, 96.785, 96.745
11/05/2018, 96.77, 247315, 96.755, 96.78, 96.755
11/02/2018, 96.76, 410513, 96.835, 96.835, 96.75
11/01/2018, 96.815, 260926, 96.8, 96.83, 96.79
10/31/2018, 96.795, 318562, 96.82, 96.825, 96.785
10/30/2018, 96.845, 241672, 96.855, 96.86, 96.82
10/29/2018, 96.855, 314854, 96.875, 96.885, 96.82
10/26/2018, 96.87, 666861, 96.81, 96.905, 96.81
10/25/2018, 96.8, 319312, 96.84, 96.85, 96.79
10/24/2018, 96.81, 543492, 96.775, 96.85, 96.765
10/23/2018, 96.775, 576626, 96.73, 96.815, 96.73
10/22/2018, 96.74, 175462, 96.725, 96.75, 96.72
10/19/2018, 96.725, 357867, 96.735, 96.76, 96.715
10/18/2018, 96.75, 505108, 96.74, 96.765, 96.71
10/17/2018, 96.76, 257616, 96.77, 96.79, 96.74
10/16/2018, 96.775, 251876, 96.785, 96.785, 96.765
10/15/2018, 96.78, 195407, 96.79, 96.815, 96.78
10/12/2018, 96.81, 299040, 96.8, 96.825, 96.765
10/11/2018, 96.805, 644084, 96.805, 96.825, 96.765
10/10/2018, 96.75, 489748, 96.75, 96.805, 96.72
10/09/2018, 96.75, 334924, 96.75, 96.76, 96.735
10/08/2018, 96.75, 98979, 96.745, 96.76, 96.725
10/05/2018, 96.745, 495184, 96.78, 96.785, 96.73
10/04/2018, 96.77, 708230, 96.785, 96.79, 96.75
10/03/2018, 96.81, 784928, 96.865, 96.875, 96.785
10/02/2018, 96.87, 297624, 96.855, 96.885, 96.85
10/01/2018, 96.855, 308808, 96.86, 96.865, 96.835
09/28/2018, 96.86, 460775, 96.845, 96.88, 96.845
09/27/2018, 96.84, 380538, 96.855, 96.865, 96.83
09/26/2018, 96.84, 507149, 96.825, 96.855, 96.815
09/25/2018, 96.83, 480328, 96.845, 96.855, 96.82
09/24/2018, 96.855, 285589, 96.855, 96.865, 96.83
09/21/2018, 96.855, 301823, 96.845, 96.86, 96.82
09/20/2018, 96.835, 421848, 96.86, 96.865, 96.82
09/19/2018, 96.845, 422894, 96.845, 96.86, 96.835
09/18/2018, 96.86, 400647, 96.875, 96.9, 96.845
09/17/2018, 96.87, 351035, 96.86, 96.88, 96.845
09/14/2018, 96.865, 448049, 96.885, 96.895, 96.855
09/13/2018, 96.895, 710493, 96.9, 96.925, 96.87
09/12/2018, 96.905, 607136, 96.9, 96.925, 96.9
09/11/2018, 96.905, 357481, 96.945, 96.955, 96.9
09/10/2018, 96.955, 163871, 96.96, 96.97, 96.945
09/07/2018, 96.96, 463488, 97.055, 97.055, 96.95
09/06/2018, 97.045, 233594, 97.025, 97.055, 97.015
09/05/2018, 97.025, 161968, 97.015, 97.035, 97.005
09/04/2018, 97.015, 289987, 97.04, 97.045, 97.005
08/31/2018, 97.045, 18324, 97.04, 97.045, 97.03
08/30/2018, 97.02, 166986, 96.985, 97.03, 96.98
08/29/2018, 96.99, 205699, 97.005, 97.02, 96.98
08/28/2018, 97.01, 111992, 97.025, 97.035, 97
08/27/2018, 97.03, 83638, 97.05, 97.06, 97.02
08/24/2018, 97.05, 230679, 97.055, 97.065, 97.025
08/23/2018, 97.07, 168900, 97.075, 97.075, 97.06
08/22/2018, 97.07, 167371, 97.06, 97.08, 97.055
08/21/2018, 97.045, 129093, 97.07, 97.07, 97.04
08/20/2018, 97.065, 180156, 97.02, 97.07, 97.02
08/17/2018, 97.02, 137495, 97.025, 97.05, 97.015
08/16/2018, 97.025, 203040, 97.045, 97.05, 97.005
08/15/2018, 97.055, 309321, 97, 97.07, 96.995
